Ref;Val;Package;PosX;PosY;Rot;Side
ATtiny1614;ATtiny1614-SS;SOIC-14_3.9x8.7mm_P1.27mm;27,751;-14,8336;0;top
C1;0,1uF;L_0805_2012Metric;27,6629;-8,9154;0;top
C2;1uF;C_0805_2012Metric;14,3995;-18,5928;180;top
C4;10uF;CP_EIA-3216-12_Kemet-S;26,8224;-39,5478;0;top
C5;0.1uF;C_0805_2012Metric;27,3789;-42,3418;0;top
C6;10uF;CP_EIA-3216-12_Kemet-S;31,9502;-32,8676;180;top
D1;D_Zener;D_SOD-123;11,812;-21,3868;180;top
ITHO_STATUS1;LED;LED_0805_2012Metric;34,4424;-5,1308;0;top
Q1;BSS138;SOT-23;39,624;-15,875;270;top
Q2;BSS138;SOT-23;35,626;-15,875;270;top
R1;R10K;R_0805_2012Metric;39,2176;-10,284;270;top
R2;R10K;R_0805_2012Metric;35,814;-10,284;90;top
R3;R10K;R_0805_2012Metric;39,243;-20,447;270;top
R4;R10K;R_0805_2012Metric;35,814;-20,447;270;top
R5;R100;R_0805_2012Metric;38,1;-5,08;180;top
R6;R10K;R_0805_2012Metric;21,8694;-13,8661;90;top
R7;10K;R_0805_2012Metric;26,2128;-36,7284;0;top
R8;10K;R_0805_2012Metric;10,7419;-18,5928;0;top
R9;R100;R_0805_2012Metric;2,8679;-21,8186;180;top
R10;10K;R_0805_2012Metric;17,8077;-22,3266;0;top
U1;ESP32-WROOM;ESP32-WROOM;12,781;-38,3402;0;top
U3;AMS1117-3.3;SOT-223-3_TabPin2;27,8892;-25,3746;90;top
WIFI_STATUS1;LED;LED_0805_2012Metric;2,8679;-24,0538;180;top
