Designator;Mid X;Mid Y;Rotation;Layer
C2;68,407;-27,5334;270;top
C2;20,107;-27,5334;270;top
C2;20,107;-146,5334;270;top
C2;20,107;-87,0334;270;top
C2;68,407;-146,5334;270;top
C2;68,407;-87,0334;270;top
C3;32,3455;-163,433;90;top
C3;32,3455;-44,433;90;top
C3;80,6455;-103,933;90;top
C3;80,6455;-163,433;90;top
C3;32,3455;-103,933;90;top
C3;80,6455;-44,433;90;top
C4;83,9;-31,2625;270;top
C4;83,9;-90,7625;270;top
C4;35,6;-31,2625;270;top
C4;35,6;-90,7625;270;top
C4;83,9;-150,2625;270;top
C4;35,6;-150,2625;270;top
C5;34,4049;-50,783;0;top
C5;34,4049;-110,283;0;top
C5;82,7049;-50,783;0;top
C5;34,4049;-169,783;0;top
C5;82,7049;-169,783;0;top
C5;82,7049;-110,283;0;top
C6;37,45;-158,8;180;top
C6;37,45;-39,8;180;top
C6;85,75;-99,3;180;top
C6;37,45;-99,3;180;top
C6;85,75;-158,8;180;top
C6;85,75;-39,8;180;top
D2;33,7435;-167,116;180;top
D2;82,0435;-48,116;180;top
D2;82,0435;-167,116;180;top
D2;82,0435;-107,616;180;top
D2;33,7435;-48,116;180;top
D2;33,7435;-107,616;180;top
LED1;61,168;-146,5334;90;top
LED1;61,168;-87,0334;90;top
LED1;12,868;-87,0334;90;top
LED1;12,868;-27,5334;90;top
LED1;61,168;-27,5334;90;top
LED1;12,868;-146,5334;90;top
LED2;73,233;-27,5475;90;top
LED2;24,933;-27,5475;90;top
LED2;73,233;-146,5475;90;top
LED2;24,933;-146,5475;90;top
LED2;24,933;-87,0475;90;top
LED2;73,233;-87,0475;90;top
Q1;46,6246;-83,071;90;top
Q1;94,9246;-142,571;90;top
Q1;46,6246;-23,571;90;top
Q1;94,9246;-83,071;90;top
Q1;94,9246;-23,571;90;top
Q1;46,6246;-142,571;90;top
Q2;42,6266;-23,571;90;top
Q2;42,6266;-83,071;90;top
Q2;90,9266;-142,571;90;top
Q2;90,9266;-83,071;90;top
Q2;90,9266;-23,571;90;top
Q2;42,6266;-142,571;90;top
R1;46,8278;-19,6564;90;top
R1;46,8278;-79,1564;90;top
R1;95,1278;-79,1564;90;top
R1;46,8278;-138,6564;90;top
R1;95,1278;-19,6564;90;top
R1;95,1278;-138,6564;90;top
R2;91,14;-138,6564;270;top
R2;91,14;-19,6564;270;top
R2;42,84;-138,6564;270;top
R2;91,14;-79,1564;270;top
R2;42,84;-19,6564;270;top
R2;42,84;-79,1564;270;top
R3;46,65;-27,493;270;top
R3;94,95;-86,993;270;top
R3;94,95;-27,493;270;top
R3;46,65;-146,493;270;top
R3;46,65;-86,993;270;top
R3;94,95;-146,493;270;top
R4;42,586;-146,493;270;top
R4;42,586;-86,993;270;top
R4;90,886;-86,993;270;top
R4;42,586;-27,493;270;top
R4;90,886;-146,493;270;top
R4;90,886;-27,493;270;top
R5;75,646;-146,5475;270;top
R5;27,346;-146,5475;270;top
R5;27,346;-87,0475;270;top
R5;27,346;-27,5475;270;top
R5;75,646;-87,0475;270;top
R5;75,646;-27,5475;270;top
R7;22,52;-87,0475;90;top
R7;22,52;-27,5475;90;top
R7;70,82;-146,5475;90;top
R7;22,52;-146,5475;90;top
R7;70,82;-87,0475;90;top
R7;70,82;-27,5475;90;top
R8;65,994;-87,0334;90;top
R8;17,694;-27,5334;90;top
R8;65,994;-146,5334;90;top
R8;65,994;-27,5334;90;top
R8;17,694;-146,5334;90;top
R8;17,694;-87,0334;90;top
R9;63,581;-27,5334;270;top
R9;63,581;-146,5334;270;top
R9;15,281;-87,0334;270;top
R9;15,281;-27,5334;270;top
R9;15,281;-146,5334;270;top
R9;63,581;-87,0334;270;top
R10;78,804;-27,542;90;top
R10;30,504;-27,542;90;top
R10;78,804;-87,042;90;top
R10;78,804;-146,542;90;top
R10;30,504;-87,042;90;top
R10;30,504;-146,542;90;top
R11;83,4395;-44,4095;90;top
R11;83,4395;-103,9095;90;top
R11;83,4395;-163,4095;90;top
R11;35,1395;-163,4095;90;top
R11;35,1395;-103,9095;90;top
R11;35,1395;-44,4095;90;top
SW1;82,8084;-139,904;270;top
SW1;82,8084;-80,404;270;top
SW1;34,5084;-139,904;270;top
SW1;82,8084;-20,904;270;top
SW1;34,5084;-20,904;270;top
SW1;34,5084;-80,404;270;top
SW2;76,408;-80,404;90;top
SW2;76,408;-139,904;90;top
SW2;76,408;-20,904;90;top
SW2;28,108;-80,404;90;top
SW2;28,108;-20,904;90;top
SW2;28,108;-139,904;90;top
U1;19,9456;-43,6356;90;top
U1;68,2456;-162,6356;90;top
U1;68,2456;-43,6356;90;top
U1;19,9456;-103,1356;90;top
U1;19,9456;-162,6356;90;top
U1;68,2456;-103,1356;90;top
