"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J3,J3,J3,J3,J3,J3";"SMA_Amphenol_132289_EdgeMount";6;"Conn_Coaxial";;;
2;"U2,U2,U2,U2,U2,U2";"CC1101-868MHz-Module";6;"CC1101-868MHz-Module";;;
3;"J2,J2,J2,J2,J2,J2";"PinSocket_2x04_P2.54mm_Vertical";6;"conn";;;
4;"REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**";"Fiducial";8;"Fiducial";;;
5;"U1,U1,U1,U1,U1,U1";"ESP32-WROOM-32E";6;"ESP32-WROOM";;;
6;"H3,H2,H3,H3,H2,H2,H2,H3,H3,H2,H2,H3";"MountingHole_2.5mm";12;"MountingHole";;;
7;"R4,R10,R8,R3,R4,R7,R4,R3,R7,R2,R2,R10,R10,R2,R10,R4,R10,R7,R3,R7,R1,R1,R4,R8,R8,R2,R3,R3,R8,R7,R1,R10,R3,R2,R7,R4,R1,R8,R2,R1,R1,R8";"R_0805_2012Metric";42;"R10K";;;
8;"D2,D2,D2,D2,D2,D2";"D_SOD-123";6;"D_Schottky";;;
9;"J5,J5,J5,J5,J5,J5";"PinHeader_2x02_P2.54mm_Vertical";6;"Conn_02x02_Odd_Even";;;
10;"C5,C5,C5,C5,C5,C5";"C_0805_2012Metric";6;"0.1uF";;;
11;"C6,C3,C3,C6,C3,C3,C6,C6,C6,C3,C6,C3";"C_0805_2012Metric";12;"10uF";;;
12;"LED1,LED1,LED1,LED1,LED1,LED1";"LED_0805_2012Metric";6;"WIFI status";;;
13;"Q1,Q2,Q1,Q2,Q2,Q2,Q1,Q2,Q2,Q1,Q1,Q1";"SOT-23W";12;"BSS138";;;
14;"R9,R5,R5,R9,R5,R5,R9,R5,R5,R9,R9,R9";"R_0805_2012Metric";12;"R100";;;
15;"C2,C2,C2,C2,C2,C2";"C_0805_2012Metric";6;"1uF";;;
16;"R-78E3.3,R-78E3.3,R-78E3.3,R-78E3.3,R-78E3.3,R-78E3.3";"Converter_DCDC_RECOM_R-78E-0.5_THT";6;"U2";;;
17;"C4,C4,C4,C4,C4,C4";"C_Elec_6.3x7.7";6;"470uF";;;
18;"LED2,LED2,LED2,LED2,LED2,LED2";"LED_0805_2012Metric";6;"itho status";;;
19;"SW1,SW1,SW1,SW1,SW1,SW1";"TS-1187";6;"Fail safe";;;
20;"SW2,SW2,SW2,SW2,SW2,SW2";"TS-1187";6;"Reset";;;
21;"J1,J1,J1,J1,J1,J1";"PinHeader_1x07_P2.54mm_Vertical";6;"CONN_01X07";;;
22;"J4,J4,J4,J4,J4,J4";"TC2020-MCP-NL";6;"TC2030-MCP-NL";;;
23;"R11,R11,R11,R11,R11,R11";"R_0805_2012Metric";6;"R1K";;;
24;"H1,H1,H1,H1,H1,H1";"Pin_D1.0mm_L10.0mm";6;"MountingHole_Pad";;;
