Ref,Val,Package,PosX,PosY,Rot,Side
"ATtiny1614","ATtiny1614-SS","SOIC-14_3.9x8.7mm_P1.27mm",27.751000,-14.833600,0.000000,top
"C1","0,1uF","L_0805_2012Metric",27.662900,-8.915400,0.000000,top
"C2","1uF","C_0805_2012Metric",14.399500,-18.592800,180.000000,top
"C4","10uF","CP_EIA-3216-12_Kemet-S",26.822400,-39.547800,0.000000,top
"C5","0.1uF","C_0805_2012Metric",27.378900,-42.341800,0.000000,top
"C6","10uF","CP_EIA-3216-12_Kemet-S",31.766500,-32.867600,180.000000,top
"D1","D_Zener","D_SOD-123",11.812000,-21.386800,180.000000,top
"ITHO_STATUS1","LED","LED_0805_2012Metric",34.417000,-8.636000,0.000000,top
"Q1","BSS138","SOT-23",39.598600,-16.510000,270.000000,top
"Q2","BSS138","SOT-23",35.600600,-16.510000,270.000000,top
"R1","R10K","R_0805_2012Metric",39.801800,-12.595400,90.000000,top
"R2","R10K","R_0805_2012Metric",35.814000,-12.595400,270.000000,top
"R3","R10K","R_0805_2012Metric",39.243000,-20.447000,270.000000,top
"R4","R10K","R_0805_2012Metric",35.814000,-20.447000,270.000000,top
"R5","R100","R_0805_2012Metric",38.072300,-8.636000,180.000000,top
"R6","R10K","R_0805_2012Metric",21.869400,-13.866100,90.000000,top
"R7","10K","R_0805_2012Metric",26.212800,-35.433000,0.000000,top
"R8","10K","R_0805_2012Metric",10.741900,-18.592800,0.000000,top
"R9","R100","R_0805_2012Metric",2.867900,-21.818600,180.000000,top
"R10","10K","R_0805_2012Metric",17.807700,-22.326600,0.000000,top
"U1","ESP32-WROOM","ESP32-WROOM-32",12.919600,-35.331400,180.000000,top
"U3","AMS1117-3.3","SOT-223-3_TabPin2",27.889200,-25.374600,90.000000,top
"WIFI_STATUS1","LED","LED_0805_2012Metric",2.867900,-24.053800,180.000000,top
