"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J4";"TC2020-MCP-NL";1;"TC2030-MCP-NL";;;
2;"H1";"MountingHole_2.5mm";1;"MountingHole";;;
3;"U1";"ESP32-WROOM-32";1;"ESP32-WROOM";;;
4;"JP1";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"Failsafe";;;
5;"R10,R8,R7";"R_0805_2012Metric";3;"10K";;;
6;"C6,C4";"CP_EIA-3216-12_Kemet-S";2;"10uF";;;
7;"REF**";"Pin_D1.0mm_L10.0mm";1;"Pin_D1.0mm_L10.0mm";;;
8;"WIFI_STATUS1,ITHO_STATUS1";"LED_0805_2012Metric";2;"LED";;;
9;"R9,R5";"R_0805_2012Metric";2;"R100";;;
10;"U3";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
11;"J1";"PinHeader_1x07_P2.54mm_Vertical";1;"CONN_01X07";;;
12;"D1";"D_SOD-123";1;"D_Zener";;;
13;"C5";"C_0805_2012Metric";1;"0.1uF";;;
14;"C2";"C_0805_2012Metric";1;"1uF";;;
15;"J3";"SMA_Amphenol_132289_EdgeMount";1;"Conn_Coaxial";;;
16;"U2";"CC1101-868MHz-Module";1;"CC1101-868MHz-Module";;;
17;"R6,R4,R3,R2,R1";"R_0805_2012Metric";5;"R10K";;;
18;"C1";"L_0805_2012Metric";1;"0,1uF";;;
19;"Q2,Q1";"SOT-23";2;"BSS138";;;
20;"ATtiny1614";"SOIC-14_3.9x8.7mm_P1.27mm";1;"ATtiny1614-SS";;;
21;"R-78E5.0-1.1";"Converter_DCDC_RECOM_R-78E-0.5_THT";1;"U2";;;
22;"J2";"PinSocket_2x04_P2.54mm_Vertical";1;"conn";;;
