Ref,Val,Package,PosX,PosY,Rot,Side
"ATtiny1614","ATtiny1614-SS","SOIC-14_3.9x8.7mm_P1.27mm",25.374600,-15.937000,90.000000,top
"C1","0,1uF","L_0805_2012Metric",19.456400,-16.025100,90.000000,top
"C2","1uF","C_0805_2012Metric",16.891000,-21.844000,270.000000,top
"C4","10uF","CP_EIA-3216-12_Kemet-S",26.492200,-39.522400,180.000000,top
"C5","0.1uF","C_0805_2012Metric",27.378900,-42.341800,0.000000,top
"C6","10uF","CP_EIA-3216-12_Kemet-S",26.488400,-36.525200,180.000000,top
"D1","D_Zener","D_SOD-123",13.970000,-21.157200,90.000000,top
"LED1","WIFI status","LED_0805_2012Metric",3.810000,-22.375100,90.000000,top
"LED2","itho status","LED_0805_2012Metric",35.179000,-8.636000,0.000000,top
"Q1","BSS138","SOT-23",39.598600,-16.510000,270.000000,top
"Q2","BSS138","SOT-23",35.600600,-16.510000,270.000000,top
"R1","R10K","R_0805_2012Metric",39.801800,-12.595400,90.000000,top
"R2","R10K","R_0805_2012Metric",35.814000,-12.595400,270.000000,top
"R3","R10K","R_0805_2012Metric",39.624000,-20.432000,270.000000,top
"R4","R10K","R_0805_2012Metric",35.560000,-20.432000,270.000000,top
"R5","R100","R_0805_2012Metric",38.834300,-8.636000,180.000000,top
"R6","R10K","R_0805_2012Metric",8.763000,-20.495500,90.000000,top
"R7","10K","R_0805_2012Metric",16.891000,-17.879300,90.000000,top
"R8","10K","R_0805_2012Metric",11.176000,-20.495500,90.000000,top
"R9","R100","R_0805_2012Metric",6.350000,-20.495500,270.000000,top
"R10","10K","R_0805_2012Metric",22.506700,-22.326600,0.000000,top
"U1","ESP32-WROOM","ESP32-WROOM-32",12.919600,-35.331400,180.000000,top
"U3","AMS1117-3.3","SOT-223-3_TabPin2",27.889200,-29.489000,90.000000,top
