"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"Q2,Q1";"SOT-23";2;"BSS138";;;
2;"R6,R4,R3,R1,R2";"R_1206_3216Metric";5;"R10K";;;
3;"C1";"L_1206_3216Metric";1;"0,1uF";;;
4;"ATtiny1";"SOIC-14_3.9x8.7mm_P1.27mm";1;"ATtiny1614-SS";;;
5;"J1";"PinHeader_2x03_P2.54mm_Vertical_SMD";1;"Conn_02x03_Odd_Even";;;
6;"R5";"R_1206_3216Metric";1;"R100";;;
7;"STATUS1";"LED_1206_3216Metric";1;"LED";;;
8;"R-78E5.0-1.1";"Converter_DCDC_RECOM_R-78E-0.5_THT";1;"U2";;;
9;"U1";"D1_mini_board";1;"WeMos_mini";;;
10;"J2";"PinSocket_2x04_P2.54mm_Vertical";1;"conn";;;
