Ref;Val;Package;PosX;PosY;Rot;Side
C1;0.1uF;C_0805_2012Metric;-23,241;-20,889;90;top
C2;0.1uF;C_0805_2012Metric;-20,508;-12,446;180;top
C3;10uF;C_0805_2012Metric;-1,9202;-16,9545;180;top
C4;470uF;C_Elec_6.3x7.7;26,749;-15,96;90;top
C5;0.1uF;C_0805_2012Metric;-0,7155;-25,688;270;top
C6;10uF;C_0805_2012Metric;-0,7155;-30,829;270;top
C7;0.1uF;C_0805_2012Metric;27,174;-42,3835;180;top
C8;10uF;C_0805_2012Metric;27,1932;-37,1602;0;top
C9;33pF;C_0805_2012Metric;-20,066;-16,891;180;top
C10;33pF;C_0805_2012Metric;-16,891;-20,381;270;top
J1;USB_B_Micro;micro usb;-28,8798;-16,139;270;top
J2;RJ45_LED_Shielded;RRJ45R08PC000;-23,6855;-37,1475;270;top
LED1;TX;LED_0805_2012Metric;-15,8585;-6,063;0;top
LED2;RX;LED_0805_2012Metric;-15,8585;-3,637;0;top
Q1;BSS138;SOT-23;-5,997;-40,7006;180;top
Q2;BSS138;SOT-23;-5,997;-36,6381;180;top
Q3;BC847;SOT-23;20,192;-20,227;0;top
Q4;BC847;SOT-23;10,397;-20,227;180;top
R1;R10K;R_0805_2012Metric;-1,7465;-40,674;0;top
R2;R10K;R_0805_2012Metric;-1,7465;-36,6735;0;top
R3;R10K;R_0805_2012Metric;-10,427;-40,726;180;top
R4;R10K;R_0805_2012Metric;-10,4795;-36,5975;180;top
R5;R100;R_0805_2012Metric;-14,4018;-20,3685;270;top
R6;R100;R_0805_2012Metric;-15,9155;-45,373;180;top
R7;R1K;R_0805_2012Metric;-12,0085;-6,063;180;top
R8;R1K;R_0805_2012Metric;-12,0085;-3,637;180;top
R9;R10K;R_0805_2012Metric;15,1195;-18,957;0;top
R10;R10K;R_0805_2012Metric;27,161;-34,705;180;top
R11;R10K;R_0805_2012Metric;15,1195;-22,259;180;top
R12;R10K;R_0805_2012Metric;27,1845;-39,7256;180;top
R13;R10K;R_0805_2012Metric;6,2295;-22,259;180;top
SW1;Fail safe;TS-1187;27,288;-28,609;270;top
U1;ESP32-WROOM;ESP32-WROOM-32;12,9196;-35,3314;180;top
U3;CH340G;SOIC-16_3.9x9.9mm_P1.27mm;-14,0446;-12,8306;0;top
U4;AMS1117-3.3;SOT-223-3_TabPin2;-3,2807;-10,0885;90;top
Y1;Crystal_GND24_Small;Crystal_SMD_TXC_7M-4Pin_3.2x2.5mm;-20,066;-20,574;270;top
