"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"Y1";"Crystal_SMD_TXC_7M-4Pin_3.2x2.5mm";1;"Crystal_GND24_Small";;;
2;"U3";"SOIC-16_3.9x9.9mm_P1.27mm";1;"CH340G";;;
3;"H5";"Pin_D1.0mm_L10.0mm";1;"MountingHole_Pad";;;
4;"C10,C9";"C_0805_2012Metric";2;"33pF";;;
5;"SW1";"TS-1187";1;"Fail safe";;;
6;"J1";"micro usb";1;"USB_B_Micro";;;
7;"C8,C3,C6";"C_0805_2012Metric";3;"10uF";;;
8;"J4,J5";"PinHeader_2x02_P2.54mm_Vertical";2;"Conn_02x02_Odd_Even";;;
9;"H4,H3,H1,H2";"MountingHole_2.5mm";4;"MountingHole";;;
10;"R9,R13,R12,R11,R10,R4,R3,R2,R1";"R_0805_2012Metric";9;"R10K";;;
11;"R8,R7";"R_0805_2012Metric";2;"R1K";;;
12;"R6,R5";"R_0805_2012Metric";2;"R100";;;
13;"C2,C1,C7,C5";"C_0805_2012Metric";4;"0.1uF";;;
14;"U4";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
15;"R-78E5.0";"Converter_DCDC_RECOM_R-78E-0.5_THT";1;"U2";;;
16;"Q4,Q3";"SOT-23";2;"BC847";;;
17;"J2";"RRJ45R08PC000";1;"RJ45_LED_Shielded";;;
18;"U2";"CC1101-868MHz-Module";1;"CC1101-868MHz-Module";;;
19;"C4";"C_Elec_6.3x7.7";1;"470uF";;;
20;"U1";"ESP32-WROOM-32";1;"ESP32-WROOM";;;
21;"LED1";"LED_0805_2012Metric";1;"TX";;;
22;"J3";"SMA_Amphenol_132289_EdgeMount";1;"Conn_Coaxial";;;
23;"LED2";"LED_0805_2012Metric";1;"RX";;;
24;"Q2,Q1";"SOT-23";2;"BSS138";;;
