Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0805_2012Metric",-23.241000,-20.889000,90.000000,top
"C2","0.1uF","C_0805_2012Metric",-20.508000,-12.446000,180.000000,top
"C3","10uF","C_0805_2012Metric",-1.920200,-16.954500,180.000000,top
"C4","470uF","C_Elec_6.3x7.7",26.749000,-15.960000,90.000000,top
"C5","0.1uF","C_0805_2012Metric",-0.715500,-25.688000,270.000000,top
"C6","10uF","C_0805_2012Metric",-0.715500,-30.829000,270.000000,top
"C7","0.1uF","C_0805_2012Metric",27.174000,-42.383500,180.000000,top
"C8","10uF","C_0805_2012Metric",27.193200,-37.160200,0.000000,top
"C9","33pF","C_0805_2012Metric",-20.066000,-16.891000,180.000000,top
"C10","33pF","C_0805_2012Metric",-16.891000,-20.381000,270.000000,top
"J1","USB_B_Micro","micro usb",-28.879800,-16.139000,270.000000,top
"J2","RJ45_LED_Shielded","RRJ45R08PC000",-23.685500,-37.147500,270.000000,top
"LED1","TX","LED_0805_2012Metric",-15.858500,-6.063000,0.000000,top
"LED2","RX","LED_0805_2012Metric",-15.858500,-3.637000,0.000000,top
"Q1","BSS138","SOT-23",-5.997000,-40.700600,180.000000,top
"Q2","BSS138","SOT-23",-5.997000,-36.638100,180.000000,top
"Q3","BC847","SOT-23",20.192000,-20.227000,0.000000,top
"Q4","BC847","SOT-23",10.397000,-20.227000,180.000000,top
"R1","R10K","R_0805_2012Metric",-1.746500,-40.674000,0.000000,top
"R2","R10K","R_0805_2012Metric",-1.746500,-36.673500,0.000000,top
"R3","R10K","R_0805_2012Metric",-10.427000,-40.726000,180.000000,top
"R4","R10K","R_0805_2012Metric",-10.479500,-36.597500,180.000000,top
"R5","R100","R_0805_2012Metric",-14.401800,-20.368500,270.000000,top
"R6","R100","R_0805_2012Metric",-15.915500,-45.373000,180.000000,top
"R7","R1K","R_0805_2012Metric",-12.008500,-6.063000,180.000000,top
"R8","R1K","R_0805_2012Metric",-12.008500,-3.637000,180.000000,top
"R9","R10K","R_0805_2012Metric",15.119500,-19.304000,0.000000,top
"R10","R10K","R_0805_2012Metric",27.161000,-34.705000,180.000000,top
"R11","R10K","R_0805_2012Metric",15.119500,-21.590000,180.000000,top
"R12","R10K","R_0805_2012Metric",27.184500,-39.725600,0.000000,top
"R13","R10K","R_0805_2012Metric",6.229500,-21.590000,180.000000,top
"Reset","Reset","TS-1187",18.161000,-14.097000,180.000000,top
"SW1","Fail safe","TS-1187",27.288000,-28.609000,270.000000,top
"U1","ESP32-WROOM","ESP32-WROOM-32",12.919600,-35.331400,180.000000,top
"U3","CH340G","SOIC-16_3.9x9.9mm_P1.27mm",-14.044600,-12.830600,0.000000,top
"U4","AMS1117-3.3","SOT-223-3_TabPin2",-3.280700,-10.088500,90.000000,top
"Y1","Crystal_GND24_Small","Crystal_SMD_TXC_7M-4Pin_3.2x2.5mm",-20.066000,-20.574000,270.000000,top
