Ref,Val,Package,PosX,PosY,Rot,Side
"C1","C","C_0603_1608Metric",123.317000,-85.518000,90.000000,top
"C1","C","C_0603_1608Metric",123.317000,-102.248000,90.000000,top
"R1","5k6","R_0603_1608Metric",124.079000,-87.918000,0.000000,top
"R1","5k6","R_0603_1608Metric",124.079000,-104.648000,0.000000,top
"R2","5k6","R_0603_1608Metric",124.079000,-99.822000,0.000000,top
"R2","5k6","R_0603_1608Metric",124.079000,-83.092000,0.000000,top
"R3","200","R_0603_1608Metric",127.190000,-104.648000,180.000000,top
"R3","200","R_0603_1608Metric",127.190000,-87.918000,180.000000,top
"R4","200","R_0603_1608Metric",127.191000,-83.092000,0.000000,top
"R4","200","R_0603_1608Metric",127.191000,-99.822000,0.000000,top
"R5","5k6","R_0603_1608Metric",127.190000,-101.473000,180.000000,top
"R5","5k6","R_0603_1608Metric",127.190000,-84.743000,180.000000,top
"U1","SHT30-DIS","Sensirion_DFN-8-1EP_2.5x2.5mm_P0.5mm_EP1.1x1.7mm",120.142000,-102.235000,0.000000,top
"U1","SHT30-DIS","Sensirion_DFN-8-1EP_2.5x2.5mm_P0.5mm_EP1.1x1.7mm",120.142000,-85.505000,0.000000,top
